         398394 function calls (396560 primitive calls) in 1.516 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     5433    0.002    0.000    0.002    0.000 {method 'count' of 'str' objects}
     1932    0.002    0.000    0.007    0.000 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/html/parser.py:344(check_for_whole_start_tag)
        1    0.002    0.002    0.012    0.012 /Users/dionedre/labs/DS_Bootcamp.Day03-1/src/ex02/dionedre/lib/python3.11/site-packages/fake_useragent/fake.py:224(_filter_useragents)
     1931    0.002    0.000    0.023    0.000 /Users/dionedre/labs/DS_Bootcamp.Day03-1/src/ex02/dionedre/lib/python3.11/site-packages/bs4/__init__.py:1053(handle_endtag)
     1306    0.002    0.000    0.003    0.000 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/html/__init__.py:91(_replace_charref)
    10936    0.002    0.000    0.002    0.000 {method 'get' of 'dict' objects}
    10605    0.002    0.000    0.002    0.000 {method 'lower' of 'str' objects}
      146    0.002    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:1604(find_spec)
       88    0.001    0.000    0.001    0.000 {method 'read' of '_io.BufferedReader' objects}
      186    0.001    0.000    1.034    0.006 /Users/dionedre/labs/DS_Bootcamp.Day03-1/src/ex02/dionedre/lib/python3.11/site-packages/httpcore/_sync/http11.py:209(_receive_event)
       73    0.001    0.000    0.007    0.000 /Users/dionedre/labs/DS_Bootcamp.Day03-1/src/ex02/dionedre/lib/python3.11/site-packages/bs4/filter.py:129(filter)
     1380    0.001    0.000    0.001    0.000 {method 'findall' of 're.Pattern' objects}
     1932    0.001    0.000    0.002    0.000 /Users/dionedre/labs/DS_Bootcamp.Day03-1/src/ex02/dionedre/lib/python3.11/site-packages/bs4/element.py:1812(is_empty_element)
     4647    0.001    0.000    0.005    0.000 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/html/__init__.py:122(unescape)
     2173    0.001    0.000    0.004    0.000 /Users/dionedre/labs/DS_Bootcamp.Day03-1/src/ex02/dionedre/lib/python3.11/site-packages/bs4/filter.py:717(match)
     3201    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
      283    0.001    0.000    0.004    0.000 {method 'sub' of 're.Pattern' objects}
     2547    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
     1625    0.001    0.000    0.002    0.000 /Users/dionedre/labs/DS_Bootcamp.Day03-1/src/ex02/dionedre/lib/python3.11/site-packages/bs4/builder/_htmlparser.py:222(handle_data)
     1149    0.001    0.000    0.003    0.000 /Users/dionedre/labs/DS_Bootcamp.Day03-1/src/ex02/dionedre/lib/python3.11/site-packages/bs4/filter.py:538(matches_tag)
3459/3458    0.001    0.000    0.002    0.000 {built-in method builtins.next}
       24    0.001    0.000    0.014    0.001 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/dataclasses.py:884(_process_class)
       99    0.001    0.000    0.014    0.000 <frozen importlib._bootstrap>:1054(_find_spec)
      407    0.001    0.000    0.007    0.000 /Users/dionedre/labs/DS_Bootcamp.Day03-1/src/ex02/dionedre/lib/python3.11/site-packages/h11/_connection.py:426(next_event)
    37/15    0.001    0.000    0.002    0.000 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/re/_parser.py:507(_parse)
       88    0.001    0.000    0.035    0.000 <frozen importlib._bootstrap_external>:1007(get_code)
  387/386    0.001    0.000    0.002    0.000 /Users/dionedre/labs/DS_Bootcamp.Day03-1/src/ex02/dionedre/lib/python3.11/site-packages/h11/_readers.py:157(__call__)
     6122    0.001    0.000    0.001    0.000 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/typing.py:2246(cast)
     1690    0.001    0.000    0.001    0.000 /Users/dionedre/labs/DS_Bootcamp.Day03-1/src/ex02/dionedre/lib/python3.11/site-packages/bs4/__init__.py:1065(handle_data)
      176    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:437(cache_from_source)
      221    0.001    0.000    1.023    0.005 /Users/dionedre/labs/DS_Bootcamp.Day03-1/src/ex02/dionedre/lib/python3.11/site-packages/httpcore/_backends/sync.py:124(read)
      825    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:128(<listcomp>)
     2293    0.001    0.000    0.001    0.000 /Users/dionedre/labs/DS_Bootcamp.Day03-1/src/ex02/dionedre/lib/python3.11/site-packages/bs4/element.py:2763(descendants)
      640    0.001    0.000    0.001    0.000 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/contextlib.py:104(__init__)
      950    0.001    0.000    0.002    0.000 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/typing.py:1290(__setattr__)
      825    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
     2709    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
        5    0.001    0.000    0.105    0.021 {method 'join' of 'bytes' objects}
      407    0.001    0.000    0.004    0.000 /Users/dionedre/labs/DS_Bootcamp.Day03-1/src/ex02/dionedre/lib/python3.11/site-packages/h11/_connection.py:398(_extract_next_receive_event)
     1933    0.001    0.000    0.001    0.000 /Users/dionedre/labs/DS_Bootcamp.Day03-1/src/ex02/dionedre/lib/python3.11/site-packages/bs4/builder/__init__.py:636(set_up_substitutions)
    103/6    0.001    0.000    0.097    0.016 <frozen importlib._bootstrap>:1165(_find_and_load)
      639    0.001    0.000    0.001    0.000 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/contextlib.py:141(__exit__)
     1933    0.001    0.000    0.001    0.000 /Users/dionedre/labs/DS_Bootcamp.Day03-1/src/ex02/dionedre/lib/python3.11/site-packages/bs4/builder/__init__.py:290(can_be_empty_element)
      189    0.001    0.000    0.002    0.000 /Users/dionedre/labs/DS_Bootcamp.Day03-1/src/ex02/dionedre/lib/python3.11/site-packages/h11/_connection.py:260(_process_event)
      183    0.001    0.000    0.001    0.000 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/typing.py:168(_type_check)
     1059    0.001    0.000    0.001    0.000 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/typing.py:1238(_is_dunder)
     1808    0.001    0.000    0.001    0.000 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/html/parser.py:126(clear_cdata_mode)
       54    0.001    0.000    0.001    0.000 {method 'fullmatch' of 're.Pattern' objects}
    102/5    0.001    0.000    0.097    0.019 <frozen importlib._bootstrap>:1120(_find_and_load_unlocked)
     3876    0.001    0.000    0.001    0.000 {method 'start' of 're.Match' objects}
      226    0.001    0.000    0.001    0.000 {method 'settimeout' of '_socket.socket' objects}
      126    0.001    0.000    0.004    0.000 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/typing.py:1346(__init__)
     1932    0.001    0.000    0.001    0.000 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/_markupbase.py:36(getpos)
       89    0.000    0.000    0.008    0.000 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/dataclasses.py:413(_create_fn)
     3039    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
       92    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:493(_init_module_attrs)
      112    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
      640    0.000    0.000    0.001    0.000 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/contextlib.py:287(helper)
       99    0.000    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:1464(_get_spec)
       88    0.000    0.000    0.026    0.000 <frozen importlib._bootstrap_external>:1127(get_data)
      152    0.000    0.000    0.002    0.000 /Users/dionedre/labs/DS_Bootcamp.Day03-1/src/ex02/dionedre/lib/python3.11/site-packages/typing_extensions.py:3029(_collect_parameters)
      189    0.000    0.000    0.001    0.000 /Users/dionedre/labs/DS_Bootcamp.Day03-1/src/ex02/dionedre/lib/python3.11/site-packages/h11/_state.py:318(_fire_state_triggered_transitions)
     92/5    0.000    0.000    0.096    0.019 <frozen importlib._bootstrap>:666(_load_unlocked)
     3082    0.000    0.000    0.000    0.000 /Users/dionedre/labs/DS_Bootcamp.Day03-1/src/ex02/dionedre/lib/python3.11/site-packages/bs4/element.py:2219(__bool__)
    71/15    0.000    0.000    0.001    0.000 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/re/_compiler.py:37(_compile)
      185    0.000    0.000    0.099    0.001 /Users/dionedre/labs/DS_Bootcamp.Day03-1/src/ex02/dionedre/lib/python3.11/site-packages/httpcore/_sync/http11.py:196(_receive_response_body)
      185    0.000    0.000    0.104    0.001 /Users/dionedre/labs/DS_Bootcamp.Day03-1/src/ex02/dionedre/lib/python3.11/site-packages/httpx/_models.py:884(iter_bytes)
      176    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
      640    0.000    0.000    0.001    0.000 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/contextlib.py:132(__enter__)
      788    0.000    0.000    0.001    0.000 {built-in method builtins.hasattr}
        3    0.000    0.000    0.001    0.000 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/enum.py:1657(convert_class)
      152    0.000    0.000    0.000    0.000 /Users/dionedre/labs/DS_Bootcamp.Day03-1/src/ex02/dionedre/lib/python3.11/site-packages/typing_extensions.py:2954(_has_generic_or_protocol_as_origin)
      112    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:100(acquire)
     2057    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
      185    0.000    0.000    0.001    0.000 /Users/dionedre/labs/DS_Bootcamp.Day03-1/src/ex02/dionedre/lib/python3.11/site-packages/bs4/filter.py:612(_attribute_match)
       57    0.000    0.000    0.001    0.000 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/dataclasses.py:723(_get_field)
      848    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:244(_verbose_message)
      185    0.000    0.000    0.100    0.001 /Users/dionedre/labs/DS_Bootcamp.Day03-1/src/ex02/dionedre/lib/python3.11/site-packages/httpx/_models.py:935(iter_raw)
     1005    0.000    0.000    0.000    0.000 /Users/dionedre/labs/DS_Bootcamp.Day03-1/src/ex02/dionedre/lib/python3.11/site-packages/h11/_connection.py:212(their_state)
     1979    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
       91    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:778(spec_from_file_location)
     1950    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
      135    0.000    0.000    0.001    0.000 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/dataclasses.py:664(_is_type)
