         431035 function calls (430888 primitive calls) in 1.386 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.002    0.002    0.002    0.002 {built-in method _socket.getaddrinfo}
        1    0.002    0.002    0.004    0.004 {method 'read' of '_io.TextIOWrapper' objects}
        1    0.002    0.002    0.011    0.011 /Users/dionedre/labs/DS_Bootcamp.Day03-1/src/ex02/dionedre/lib/python3.11/site-packages/fake_useragent/fake.py:224(_filter_useragents)
       73    0.002    0.000    0.009    0.000 /Users/dionedre/labs/DS_Bootcamp.Day03-1/src/ex02/dionedre/lib/python3.11/site-packages/bs4/filter.py:129(filter)
     2752    0.002    0.000    0.002    0.000 /Users/dionedre/labs/DS_Bootcamp.Day03-1/src/ex02/dionedre/lib/python3.11/site-packages/bs4/element.py:1812(is_empty_element)
     2934    0.002    0.000    0.005    0.000 /Users/dionedre/labs/DS_Bootcamp.Day03-1/src/ex02/dionedre/lib/python3.11/site-packages/bs4/filter.py:717(match)
     6220    0.002    0.000    0.007    0.000 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/html/__init__.py:122(unescape)
      419    0.002    0.000    0.006    0.000 {method 'sub' of 're.Pattern' objects}
     1540    0.001    0.000    0.003    0.000 /Users/dionedre/labs/DS_Bootcamp.Day03-1/src/ex02/dionedre/lib/python3.11/site-packages/bs4/filter.py:538(matches_tag)
     2588    0.001    0.000    0.003    0.000 /Users/dionedre/labs/DS_Bootcamp.Day03-1/src/ex02/dionedre/lib/python3.11/site-packages/bs4/builder/_htmlparser.py:222(handle_data)
       11    0.001    0.000    0.109    0.010 {method 'join' of 'bytes' objects}
     2709    0.001    0.000    0.002    0.000 /Users/dionedre/labs/DS_Bootcamp.Day03-1/src/ex02/dionedre/lib/python3.11/site-packages/bs4/__init__.py:1065(handle_data)
        3    0.001    0.000    0.001    0.000 {built-in method io.open_code}
     8581    0.001    0.000    0.001    0.000 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/typing.py:2246(cast)
     3054    0.001    0.000    0.001    0.000 /Users/dionedre/labs/DS_Bootcamp.Day03-1/src/ex02/dionedre/lib/python3.11/site-packages/bs4/element.py:2763(descendants)
     2753    0.001    0.000    0.001    0.000 /Users/dionedre/labs/DS_Bootcamp.Day03-1/src/ex02/dionedre/lib/python3.11/site-packages/bs4/builder/__init__.py:636(set_up_substitutions)
     2753    0.001    0.000    0.001    0.000 /Users/dionedre/labs/DS_Bootcamp.Day03-1/src/ex02/dionedre/lib/python3.11/site-packages/bs4/builder/__init__.py:290(can_be_empty_element)
     2604    0.001    0.000    0.001    0.000 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/html/parser.py:126(clear_cdata_mode)
     5610    0.001    0.000    0.001    0.000 {method 'start' of 're.Match' objects}
     2771    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
        1    0.001    0.001    0.001    0.001 {built-in method _socket.gethostbyname}
     2752    0.001    0.000    0.001    0.000 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/_markupbase.py:36(getpos)
     2944    0.001    0.000    0.002    0.000 {built-in method builtins.next}
     4293    0.001    0.000    0.001    0.000 /Users/dionedre/labs/DS_Bootcamp.Day03-1/src/ex02/dionedre/lib/python3.11/site-packages/bs4/element.py:2219(__bool__)
     2943    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
       40    0.000    0.000    0.006    0.000 /Users/dionedre/labs/DS_Bootcamp.Day03-1/src/ex02/dionedre/lib/python3.11/site-packages/urllib3/response.py:122(decompress)
      302    0.000    0.000    0.937    0.003 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/ssl.py:1267(recv_into)
      302    0.000    0.000    0.938    0.003 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/socket.py:692(readinto)
     2636    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
     2776    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
     2818    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
      241    0.000    0.000    0.001    0.000 /Users/dionedre/labs/DS_Bootcamp.Day03-1/src/ex02/dionedre/lib/python3.11/site-packages/bs4/filter.py:612(_attribute_match)
       62    0.000    0.000    0.101    0.002 {method 'read' of '_io.BufferedReader' objects}
     1947    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
      302    0.000    0.000    0.936    0.003 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/ssl.py:1125(read)
      820    0.000    0.000    0.000    0.000 /Users/dionedre/labs/DS_Bootcamp.Day03-1/src/ex02/dionedre/lib/python3.11/site-packages/bs4/filter.py:259(_base_match)
      120    0.000    0.000    0.002    0.000 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/_markupbase.py:165(parse_comment)
      352    0.000    0.000    0.001    0.000 /Users/dionedre/labs/DS_Bootcamp.Day03-1/src/ex02/dionedre/lib/python3.11/site-packages/bs4/filter.py:623(_match_attribute_value_helper)
        1    0.000    0.000    0.000    0.000 {built-in method io.open}
