         343994 function calls (343841 primitive calls) in 10.506 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     3848    0.002    0.000    0.002    0.000 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/typing.py:349(inner)
     9690    0.002    0.000    0.002    0.000 {method 'get' of 'dict' objects}
        1    0.002    0.002    0.002    0.002 /Users/dionedre/labs/DS_Bootcamp.Day03-1/src/ex02/dionedre/lib/python3.11/site-packages/requests/models.py:909(text)
     1380    0.001    0.000    0.001    0.000 {method 'findall' of 're.Pattern' objects}
     1722    0.001    0.000    0.001    0.000 {built-in method __new__ of type object at 0x1035592f0}
       73    0.001    0.000    0.007    0.000 /Users/dionedre/labs/DS_Bootcamp.Day03-1/src/ex02/dionedre/lib/python3.11/site-packages/bs4/filter.py:129(filter)
     4647    0.001    0.000    0.005    0.000 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/html/__init__.py:122(unescape)
     1932    0.001    0.000    0.002    0.000 /Users/dionedre/labs/DS_Bootcamp.Day03-1/src/ex02/dionedre/lib/python3.11/site-packages/bs4/element.py:1812(is_empty_element)
     2173    0.001    0.000    0.004    0.000 /Users/dionedre/labs/DS_Bootcamp.Day03-1/src/ex02/dionedre/lib/python3.11/site-packages/bs4/filter.py:717(match)
      279    0.001    0.000    0.004    0.000 {method 'sub' of 're.Pattern' objects}
       19    0.001    0.000    2.949    0.155 {method 'join' of 'bytes' objects}
     1149    0.001    0.000    0.003    0.000 /Users/dionedre/labs/DS_Bootcamp.Day03-1/src/ex02/dionedre/lib/python3.11/site-packages/bs4/filter.py:538(matches_tag)
        3    0.001    0.000    0.001    0.000 {built-in method io.open_code}
     1625    0.001    0.000    0.002    0.000 /Users/dionedre/labs/DS_Bootcamp.Day03-1/src/ex02/dionedre/lib/python3.11/site-packages/bs4/builder/_htmlparser.py:222(handle_data)
     1690    0.001    0.000    0.001    0.000 /Users/dionedre/labs/DS_Bootcamp.Day03-1/src/ex02/dionedre/lib/python3.11/site-packages/bs4/__init__.py:1065(handle_data)
     5931    0.001    0.000    0.001    0.000 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/typing.py:2246(cast)
     2293    0.001    0.000    0.001    0.000 /Users/dionedre/labs/DS_Bootcamp.Day03-1/src/ex02/dionedre/lib/python3.11/site-packages/bs4/element.py:2763(descendants)
     1933    0.001    0.000    0.001    0.000 /Users/dionedre/labs/DS_Bootcamp.Day03-1/src/ex02/dionedre/lib/python3.11/site-packages/bs4/builder/__init__.py:290(can_be_empty_element)
     1933    0.001    0.000    0.001    0.000 /Users/dionedre/labs/DS_Bootcamp.Day03-1/src/ex02/dionedre/lib/python3.11/site-packages/bs4/builder/__init__.py:636(set_up_substitutions)
     3876    0.001    0.000    0.001    0.000 {method 'start' of 're.Match' objects}
     1953    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
     1808    0.001    0.000    0.001    0.000 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/html/parser.py:126(clear_cdata_mode)
     1932    0.001    0.000    0.001    0.000 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/_markupbase.py:36(getpos)
     2192    0.001    0.000    0.001    0.000 {built-in method builtins.next}
       29    0.000    0.000    0.004    0.000 /Users/dionedre/labs/DS_Bootcamp.Day03-1/src/ex02/dionedre/lib/python3.11/site-packages/urllib3/response.py:122(decompress)
     3082    0.000    0.000    0.000    0.000 /Users/dionedre/labs/DS_Bootcamp.Day03-1/src/ex02/dionedre/lib/python3.11/site-packages/bs4/element.py:2219(__bool__)
      237    0.000    0.000    3.969    0.017 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/ssl.py:1267(recv_into)
      237    0.000    0.000    3.970    0.017 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/socket.py:692(readinto)
        2    0.000    0.000    0.000    0.000 {built-in method _scproxy._get_proxies}
     1967    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
      403    0.000    0.000    0.001    0.000 <frozen os>:674(__getitem__)
       47    0.000    0.000    2.943    0.063 {method 'read' of '_io.BufferedReader' objects}
       23    0.000    0.000    0.000    0.000 {built-in method posix.stat}
      185    0.000    0.000    0.001    0.000 /Users/dionedre/labs/DS_Bootcamp.Day03-1/src/ex02/dionedre/lib/python3.11/site-packages/bs4/filter.py:612(_attribute_match)
     1890    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
      415    0.000    0.000    0.002    0.000 <frozen _collections_abc>:859(__iter__)
     1965    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
     1996    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
        5    0.000    0.000    0.002    0.000 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/urllib/request.py:2499(getproxies_environment)
        1    0.000    0.000    0.000    0.000 {built-in method posix.listdir}
     12/6    0.000    0.000    0.001    0.000 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/re/_parser.py:507(_parse)
      237    0.000    0.000    3.968    0.017 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/ssl.py:1125(read)
       35    0.000    0.000    0.001    0.000 /Users/dionedre/labs/DS_Bootcamp.Day03-1/src/ex02/dionedre/lib/python3.11/site-packages/bs4/filter.py:378(__init__)
     1346    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
      768    0.000    0.000    0.000    0.000 <frozen os>:760(decode)
      697    0.000    0.000    0.000    0.000 /Users/dionedre/labs/DS_Bootcamp.Day03-1/src/ex02/dionedre/lib/python3.11/site-packages/bs4/filter.py:259(_base_match)
      294    0.000    0.000    0.001    0.000 /Users/dionedre/labs/DS_Bootcamp.Day03-1/src/ex02/dionedre/lib/python3.11/site-packages/bs4/filter.py:623(_match_attribute_value_helper)
      403    0.000    0.000    0.000    0.000 <frozen os>:756(encode)
        1    0.000    0.000    0.012    0.012 /Users/dionedre/labs/DS_Bootcamp.Day03-1/src/ex02/dionedre/lib/python3.11/site-packages/fake_useragent/fake.py:279(__getattr__)
      512    0.000    0.000    0.000    0.000 /Users/dionedre/labs/DS_Bootcamp.Day03-1/src/ex02/dionedre/lib/python3.11/site-packages/bs4/filter.py:292(matches_string)
      889    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
        3    0.000    0.000    0.000    0.000 {built-in method marshal.loads}
      390    0.000    0.000    0.000    0.000 <frozen os>:697(__iter__)
       35    0.000    0.000    0.008    0.000 /Users/dionedre/labs/DS_Bootcamp.Day03-1/src/ex02/dionedre/lib/python3.11/site-packages/bs4/element.py:1079(_find_all)
       64    0.000    0.000    0.001    0.000 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/_markupbase.py:165(parse_comment)
     1211    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
        1    0.000    0.000    0.000    0.000 {built-in method io.open}
       69    0.000    0.000    0.000    0.000 /Users/dionedre/labs/DS_Bootcamp.Day03-1/src/ex02/dionedre/lib/python3.11/site-packages/bs4/filter.py:224(__init__)
        4    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
     23/6    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/re/_compiler.py:37(_compile)
       53    0.000    0.000    0.002    0.000 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/re/__init__.py:272(_compile)
       29    0.000    0.000    2.898    0.100 /Users/dionedre/labs/DS_Bootcamp.Day03-1/src/ex02/dionedre/lib/python3.11/site-packages/urllib3/response.py:1173(read_chunked)
        9    0.000    0.000    0.000    0.000 {built-in method builtins.__build_class__}
  507/505    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
      237    0.000    0.000    0.000    0.000 {method '_checkReadable' of '_io._IOBase' objects}
        1    0.000    0.000   10.506   10.506 /Users/dionedre/labs/DS_Bootcamp.Day03-1/src/ex04/./financial.py:10(financial_data)
        5    0.000    0.000    0.000    0.000 /Users/dionedre/labs/DS_Bootcamp.Day03-1/src/ex02/dionedre/lib/python3.11/site-packages/urllib3/util/url.py:227(_encode_invalid_chars)
      272    0.000    0.000    0.000    0.000 /Users/dionedre/labs/DS_Bootcamp.Day03-1/src/ex02/dionedre/lib/python3.11/site-packages/bs4/element.py:2160(get)
       61    0.000    0.000    1.027    0.017 {method 'readline' of '_io.BufferedReader' objects}
        6    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1604(find_spec)
